000002.SZ; China Vanke Co Ltd; Shenzhen Stock Exchange; 355.4162119; 38904.35507; 2016-09-30; Income Growth; +ve; -; 0.440857587598; 0.454687067744; 0.64276551635; 0.392855398654; 0.322473683167; 0; 0.449607461256; 0.0767461558131; 0.281438550849; 0.212938443672; 0.217893482988
000004.SZ; Shenzhen CAU Technology Co Ltd; Shenzhen Stock Exchange; 17.70917084; 491.2126475; 2016-09-30; Both; +ve +ve; -1; 2.9325819152; 1.29663405552; -0.356128811014; -0.0195739387768; 0.398301491257; -2; 9.05840375103; 0.754202681105; -0.290670450132; -1.12057731598; 2.35332264138
000005.SZ; Shenzhen Fountain Corp; Shenzhen Stock Exchange; 14.95586882; 1151.889868; 2016-09-30; Revenue Growth; +ve; -3; 15.9496570357; 5.42680175439; 2.21990695081; 1.26608515594; -0.209939493224; -; 2.02164265771; 9.84685359079; 0.156497667517; -1.33820502566; 0.0120030676488
000006.SZ; Shenzhen Zhenye Group Co Ltd; Shenzhen Stock Exchange; 80.49447378; 1954.754767; 2016-09-30; Revenue Growth; -ve; -1; -0.0205936412585; -0.232370978436; -0.724677496069; -0.196572830326; 0.785996367277; -; -0.338495473701; -0.0563779567166; -0.757922687933; -0.478714658746; -0.901597948201
000007.SZ; Shenzhen Quanxinhao Co Ltd; Shenzhen Stock Exchange; 26.48020167; 889.5464813; 2016-09-30; Both; -ve +ve; 0; -0.643349937376; -0.708987931741; -0.703069023855; -0.893186882161; -0.388277818742; 0; 2.55627328666; -12.3277557565; 2.57500590792; 2.09345180008; -0.523892807378
000008.SZ; China High Speed Railway Technology Co Ltd; Shenzhen Stock Exchange; 24.80234281; 4098.808525; 2016-09-30; Income Growth; +ve; -; 0.480175689667; 0.505497386735; -0.0786459608003; 5.68242011091; 2.18422755725; -1; 5.76916687108; 1.24375303143; -0.794615357904; 45.7845377113; 21.6565976209
000011.SZ; Shenzhen Properties & Resources Development Group Ltd; Shenzhen Stock Exchange; 60.33438411; 1445.196403; 2016-09-30; Income Growth; -ve; -; -0.469670118975; -0.135200323239; 0.449527353164; -0.0318609789043; -0.0446719628225; 0; -1.12775674052; -1.1891073531; 0.619233359524; 0.169443477833; -0.927538949135
000014.SZ; Shahe Industry Co Ltd; Shenzhen Stock Exchange; 17.39135156; 653.1275758; 2016-09-30; Both; +ve +ve; 0; 0.217153169391; -0.38960175423; -0.109238949671; -0.243164616387; -0.424071325309; -1; 0.545291581094; -1.3927027897; -15.4146848989; 0.136621119693; -0.332870692243
000016.SZ; Konka Group Co Ltd; Shenzhen Stock Exchange; 10.46251892; 1462.456887; 2016-09-30; Revenue Growth; +ve; -2; 0.226117164494; 0.036879513479; -0.108738108295; -0.235934956168; -0.0349891889449; -; 0.897046252752; 1.01445718405; 0.0873415337623; -81.2117590851; -175.352771245
000017.SZ; China Bicycle Co Holdings Ltd; Shenzhen Stock Exchange; 15.87157415; 672.9628286; 2016-09-30; Income Growth; +ve; -; -1.18471371257; -0.192502581147; -0.0146530499082; -0.368269487465; -0.176881478764; -2; 12.3864512425; 1.09955506118; -0.462583535287; -1.45170509559; -0.919436258639
