Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30
Tencent Holdings Ltd,0700.HK,Hong_Kong,296585.54,475.7609124,Information Technology,Internet Software & Services,,,,,,,18.38521401
AIA Group Ltd,1299.HK,Hong_Kong,83581.31,155.0779974,Financials,Insurance,,,,,,,11.03092783
China Mobile Ltd,0941.HK,Hong_Kong,218370.40,157.8875934,Telecommunication Services,Wireless Telecommunication Services,175.7575758,41.41414142,219.1919192,125.7142857,72.12121212,-46.07594937,-6.587837834
Hong Kong Exchanges and Clearing Ltd,0388.HK,Hong_Kong,30160.23,72.24290698,Financials,Capital Markets,,,,,118.0613684,118.0613684,-4.891944989
Semiconductor Manufacturing International Corp,0981.HK,Hong_Kong,5894.26,32.07642361,Information Technology,Semiconductors & Semiconductor Equipment,,,,,,,-8.703703705
Geely Automobile Holdings Ltd,0175.HK,Hong_Kong,12036.99,110.2521887,Consumer Discretionary,Automobiles,61.76470588,23.52941177,35.29411765,9.523809523,7.352941175,-20.65217391,32.57575758
CNOOC Ltd,0883.HK,Hong_Kong,52065.16,82.17665921,Energy,"Oil, Gas & Consumable Fuels",,,,,,,-7.448979594
Sun Hung Kai Properties Ltd,0016.HK,Hong_Kong,43446.15,58.54665122,Real Estate,Real Estate Management & Development,25.17748225,29.6803653,37.23161017,5.822966997,48.10589809,7.924040172,14.60794983
Sands China Ltd,1928.HK,Hong_Kong,36637.98,74.22116371,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,,,,,2.877182375
CK Hutchison Holdings Ltd,0001.HK,Hong_Kong,48185.02,63.1830985,Industrials,Industrial Conglomerates,94.16666668,45.83333334,79.16666668,22.85714286,69.13649498,-5.598235365,1.092611864
Galaxy Entertainment Group Ltd,0027.HK,Hong_Kong,23814.16,84.05879594,Consumer Discretionary,"Hotels, Restaurants & Leisure",-13.04346951,2.816901408,-13.04346951,-15.42584021,-15.64995896,-2.997462573,32.87060012
Cheung Kong Property Holdings Ltd,1113.HK,Hong_Kong,26928.82,48.30332246,Real Estate,Real Estate Management & Development,,,,,,,4.29906542
China Unicom Hong Kong Ltd,0762.HK,Hong_Kong,30912.17,58.10419037,Telecommunication Services,Diversified Telecommunication Services,,,,,-28.86904762,-28.86904762,10.81677704
BOC Hong Kong Holdings Ltd,2388.HK,Hong_Kong,43499.31,44.90331841,Financials,Banks,,,,,,,18.73840445
China Overseas Land & Investment Ltd,0688.HK,Hong_Kong,31835.50,63.85353894,Real Estate,Real Estate Management & Development,11.39240506,-3.797468354,36.70886076,42.10526316,30.35491998,-4.647790013,-6.029106032
WH Group Ltd,0288.HK,Hong_Kong,13086.52,27.19832381,Consumer Staples,Food Products,,,,,,,8.593750001
Wharf Holdings Ltd,0004.HK,Hong_Kong,25914.52,31.15082091,Real Estate,Real Estate Management & Development,-28.53717026,1.199040767,-34.77218225,-35.5450237,-4.37877274,46.59577856,19.3005674
Lenovo Group Ltd,0992.HK,Hong_Kong,7112.69,57.9216852,Information Technology,"Technology Hardware, Storage & Peripherals",614.9526477,79.45888031,804.5015855,404.0160643,183.6759124,-68.63732281,3.985671853
AAC Technologies Holdings Inc,2018.HK,Hong_Kong,18030.50,60.76302443,Information Technology,"Electronic Equipment, Instruments & Components",,,,,,,59.38590371
CLP Holdings Ltd,0002.HK,Hong_Kong,26652.17,27.12570737,Utilities,Electric Utilities,-2.325816097,1.662049861,-9.322534142,-10.80499952,15.84545164,27.75550192,5.864435578
Power Assets Holdings Ltd,0006.HK,Hong_Kong,19208.30,44.59404344,Utilities,Electric Utilities,-2.489626556,2.697095436,-3.941908713,-6.464646464,26.96788063,32.17822562,7.920054426
Dongfeng Motor Group Co Ltd,0489.HK,Hong_Kong,9061.67,17.62660127,Consumer Discretionary,Automobiles,,,,,,,3.41340076
PICC Property and Casualty Co Ltd,2328.HK,Hong_Kong,23869.60,61.38818354,Financials,Insurance,,,,,,,0.967741934
Cheung Kong Infrastructure Holdings Ltd,1038.HK,Hong_Kong,23225.54,34.54319242,Utilities,Electric Utilities,1.74E-09,3.496503497,-22.02797203,-24.66216216,-6.584037786,19.8070188,4.204892972
Wynn Macau Ltd,1128.HK,Hong_Kong,11422.70,32.74598068,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,,,,,51.06007067
Sunny Optical Technology Group Co Ltd,2382.HK,Hong_Kong,9026.72,44.79888432,Information Technology,"Electronic Equipment, Instruments & Components",,,,,,,72.27456258
China Telecom Corp Ltd,0728.HK,Hong_Kong,39541.13,29.20205758,Telecommunication Services,Diversified Telecommunication Services,,,,,,,-5.472636815
Hong Kong and China Gas Co Ltd,0003.HK,Hong_Kong,25408.58,21.78494616,Utilities,Gas Utilities,-4.878048781,1.463414633,-7.317073172,-8.653846153,27.59348247,37.66665214,1.834862386
China Resources Land Ltd,1109.HK,Hong_Kong,19248.15,38.64733354,Real Estate,Real Estate Management & Development,-37.38317757,4.672897196,-38.31775701,-41.07142857,56.81692312,154.2334966,10.65573771
