Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30,16/12/1-17/4/30
Forstaedernes Bank A/S oploest,FORSTnx.CO^E01,Europe,NULL,0,Financials,Banks,,,,,,,,
Forstaedernes Bank A/S oploest,FORSTn.CO^F07,Europe,NULL,0.087965754,Financials,Banks,,,,,,,,
Multiconsult ASA,MULTIC.OL,Europe,282.1721707,0.59775386,Industrials,Professional Services,,,,,,,-12.14285714,-13.38028169
Zealand Pharma A/S,ZELAn.CO^L10,Europe,466.7619029,0,Health Care,Biotechnology,,,,,,,,
Zealand Pharma A/S,ZEA.CO^L05,Europe,466.7619029,0,Health Care,Biotechnology,,,,,,,,
Zealand Pharma A/S,ZEAn.CO^L05,Europe,466.7619029,0,Health Care,Biotechnology,,,,,,,,
Zealand Pharma A/S,ZELA.CO,Europe,466.7619029,2.807458981,Health Care,Biotechnology,,,,,,,37.07865169,13.4883721
Gruppo MutuiOnline SpA,MOL.MI,Europe,518.4969079,0.475131805,Financials,Consumer Finance,,,,,,,51.53797865,50.49875311
Nordic Nanovector ASA,NANOV.OL,Europe,535.4245253,2.631925262,Health Care,Biotechnology,,,,,,,43.84615385,-19.39655172
Aeroporto Guglielmo Marconi di Bologna SpA,ADB.MI,Europe,623.7027585,0.466177984,Industrials,Transportation Infrastructure,,,,,,,89.16021442,83.05475504
Space2 SpA,SPA2.MI,Europe,326.3835923,3.298615661,NULL,NULL,,,,,,,34.63985522,30.79300221
Broedrene Hartmann A/S,HARTbn.CO^F08,Europe,355.8200652,0,Materials,Containers & Packaging,,,,,,,,
Broedrene Hartmann A/S,HARTb.CO,Europe,355.8200652,0.387407602,Materials,Containers & Packaging,-10.49382716,-1.234567902,-5.555555554,-4.374999998,-29.5781893,-25.43572985,7.327043133,7.650317357
Kongsberg Automotive ASA,KOA.OL,Europe,298.8217449,0.406410515,Consumer Discretionary,Auto Components,,,,,,,-1.100628933,9.012131716
Aak Group Treasury A/S,AARUTD.CO^K05,Europe,NULL,0,NULL,NULL,-10.03231492,-10.81081081,-10.03231492,0.872859026,-7.669217137,2.626607303,,
Aak Group Treasury A/S,AOACb.CO^E01,Europe,NULL,0.134561071,NULL,NULL,-5.863367403,-8.552985476,2.205486819,11.76470588,-0.501191113,-2.648270671,,
Seabed Geosolutions R&D AS,EXRE.OL^J05,Europe,NULL,0,NULL,NULL,,,,,,,,
Tsakos Energy Navigation Ltd,MIF.OL^H01,Europe,386.8032749,0,Energy,"Oil, Gas & Consumable Fuels",,,,,,,,
Gruppo Editoriale l'Espresso SpA,ESPI.MI,Europe,377.8635769,0.456542573,Consumer Discretionary,Media,286.28055,35.75566087,314.9412524,205.6530017,70.63271446,-58.877862,15.38987688,26.27245509
Sparebanken Vest,SVEG.OL,Europe,367.1441225,0.402915485,Financials,Banks,-4.811255082,13.90374332,3.74331551,-8.920187793,-15.68411549,-18.72644122,22.96309368,22.96309368
Thin Film Electronics ASA,THIN.OL,Europe,371.1197373,0.695179733,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,,,-1.518987346,-0.511508954
Floatel International Ltd,FLOA.OL^I11,Europe,NULL,0.131703845,Energy,Energy Equipment & Services,,,,,,,,
Kvaerner ASA,KVAER.OL,Europe,351.8721824,0.528157203,Energy,Energy Equipment & Services,,,,,,,12,6.666666665
Nice SpA,NICE.MI,Europe,438.3783255,0.200794983,Information Technology,"Electronic Equipment, Instruments & Components",,,,,,,36.42072213,47.28813559
Morpol ASA,MORPOL.OL^K13,Europe,331.3189903,0,Consumer Staples,Food Products,,,,,,,,
Juventus FC SpA,JUVE.MI,Europe,929.1100443,11.80041031,Consumer Discretionary,Media,,,,,,,185.5218855,192.5146602
Tribe Invest AS,CHS.OL^L05,Europe,NULL,0,NULL,NULL,51.96380079,-0.621355656,32.50537988,33.33385734,101.3345199,51.94441166,,
Marcolin SpA,MCL.MI^B13,Europe,327.5081288,0,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",-19.63276836,-0.423728815,-7.721241281,-7.32856571,-21.71538888,-15.16508002,,
BWG Homes AS,BWG.OL^F14,Europe,NULL,0,Consumer Discretionary,Household Durables,,,,,,,,
Vianini Lavori SpA,VIAI.MI^L15,Europe,324.1505557,0.08388369,Industrials,Construction & Engineering,38.51894375,-8.151549941,61.94029851,76.3125,38.79851351,-14.29031885,,
Navig8 Chemical Tankers Inc,CHEMS.NFF,Europe,305.6760347,0,Industrials,Marine,,,,,,,,
Mediterranea delle Acque SpA,MEA.MI^J10,Europe,NULL,0,Utilities,Water Utilities,5.561861519,1.021566403,3.670071886,2.621722843,-7.124633923,-10.41255746,,
Dorian LPG Ltd,DORIAN.NFF^L14,Europe,499.6530479,0,Energy,"Oil, Gas & Consumable Fuels",,,,,,,,
Vizrt Ltd,VIZN.OL^F06,Europe,316.4518473,0,Information Technology,Software,,,,,,,,
Vizrt Ltd,VIZ.OL^C15,Europe,316.4518473,0.199601101,Information Technology,Software,,,,,,,,
Staples Norway AS,CTYOn.OL^E96,Europe,NULL,0,Consumer Discretionary,Distributors,,,,,,,,
Staples Norway AS,ATG.OL^K06,Europe,NULL,0,Consumer Discretionary,Distributors,46.03898306,24.86992716,90.48563008,52.54724209,-8.398559517,-51.91162691,,
Odim Holding AS,ODIM.OL^D10,Europe,NULL,0,Industrials,Machinery,,,,,,,,
GIM Generale Industrie Metallurgiche SpA,GIMI.MI^C07,Europe,NULL,0.761458272,NULL,NULL,7.5,3.896103896,28.46320346,23.64583333,33.17940237,3.671244981,,
GIM Generale Industrie Metallurgiche SpA,GIMIa.MI^D05,Europe,NULL,0,NULL,NULL,,,,,,,,
NRC Group ASA,NRC.OL,Europe,279.3110796,0.299560484,Industrials,Construction & Engineering,-19.62728649,5.626189353,-14.32350337,-18.88707038,-18.86368747,-5.299217733,-19.33333333,-10.37037037
Veloxis Pharmaceuticals A/S,LCPn.CO^K06,Europe,272.1325291,0,Health Care,Pharmaceuticals,,,,,,,,
Veloxis Pharmaceuticals A/S,VELOX.CO,Europe,272.1325291,0.167487588,Health Care,Pharmaceuticals,,,,,,,-9.917355369,1.869158881
Komplett Bank ASA,KOMPBK.NFF,Europe,242.5974357,0.0727035,Financials,Banks,,,,,,,-16.66666667,-9.677419355
Toscana Aeroporti SpA,TYA.MI,Europe,333.2707249,0.059513563,Industrials,Transportation Infrastructure,,,,,,,11.35902637,12.42320819
Sparebank 1 Ringerike Hadeland,RING.OL,Europe,299.7108182,0.041457762,Financials,Banks,-7.222222222,2.222222222,-8.333333333,-10.32608696,-19.72222222,-12.42424242,6.460903353,5.244207315
Italiaonline SpA,IOL.MI,Europe,444.0710439,0.968363094,Consumer Discretionary,Media,,,,,,,52.71786023,72.8515625
Asia Offshore Drilling Ltd,AOD.OL^F13,Europe,293.5015374,0,Energy,Energy Equipment & Services,,,,,,,,
Aquarius Platinum Ltd,AQPGBX.OLp^G08,Europe,290.5255021,0,Materials,Metals & Mining,,,,,,,,
Aker Biomarine ASA,AKBM.OL^A13,Europe,288.8226679,0.046695101,Health Care,Biotechnology,364.8484848,4,398.989899,379.7979798,209.8989899,-37.89473684,,
Aker Biomarine ASA,AKBM.NFF^F07,Europe,288.8226679,0,Health Care,Biotechnology,,,,,,,,
Noerresundby Bank A/S,NRSU.CO^D15,Europe,288.6529529,0.218578256,Financials,Banks,3.522371813,0.58479532,2.339181278,1.74418604,4.719162239,2.325581396,,
Noerresundby Bank A/S,NRBCn.CO^L98,Europe,288.6529529,0,Financials,Banks,,,,,,,,
Cofide Gruppo de Benedetti SpA,COFI.MI,Europe,542.6583058,1.107002864,Industrials,Industrial Conglomerates,307.4916856,20.3395764,463.626816,368.3636363,181.1132505,-50.1242236,92.93855991,96.54488814
Sparebanken More,MOREn.OL^A95,Europe,276.5557314,0.060547974,Financials,Banks,,,,,,,,
Sparebanken More,SPMO.OL,Europe,276.5557314,0.181736896,Financials,Banks,6.375635724,2.762430939,7.720925065,4.825201274,17.93818086,9.484931349,8.422062871,1.078735904
Wavefield Inseis AS,WAVE.NFF^C07,Europe,NULL,2.533846382,Energy,Energy Equipment & Services,,,,,,,,
Buongiorno SpA,BVIT.MI^H12,Europe,NULL,0,Information Technology,Software,,,,,-48.51851852,-48.51851852,,
Banca Carige SpA Cassa di Risparmio di Genova e Imperia,CRGI.MI,Europe,231.9689052,1.114810497,Financials,Banks,17.39709444,2.65133172,17.55447942,14.51822149,15.24166302,-1.967442172,-17.7002584,0.078554597
Golden Ocean Group Ltd,GOGL.OL^D15,Europe,278.6010472,1.596431326,Industrials,Marine,,,,,,,,
ABG Sundal Collier Holding ASA,ASC.OL,Europe,308.9858534,0.270377408,Financials,Capital Markets,44.11764706,5.882352942,41.17647059,33.33333333,46.47058824,3.750000001,24.67995345,27.53720238
Nordjyske Bank A/S,NORDJBn.CO^C15,Europe,312.7325612,0,Financials,Banks,,,,,,,,
Nordjyske Bank A/S,NORDJB.CO,Europe,312.7325612,0.075726299,Financials,Banks,3.414634144,0.325203252,1.626016258,1.296596433,9.737669924,7.981867207,20.46595745,17.52776336
Odfjell SE,ODFB.OL,Europe,342.3101522,0.069503292,Industrials,Marine,34.60223051,6.328154604,30.11548949,22.37162394,70.73962669,31.22159964,29.9610895,22.34432235
Odfjell SE,ODF.OL,Europe,342.3101522,0.429751985,Industrials,Marine,42.33026744,-4.653130287,39.0457228,45.83145018,92.30210228,38.30134318,26.96629213,22.38267148
Ainmt AS,AINMT.NFF,Europe,560.2651599,0.020079099,Telecommunication Services,Wireless Telecommunication Services,,,,,,,53.42465753,49.33333333
Caltagirone SpA,CALI.MI,Europe,329.0994684,0.097838421,Materials,Construction Materials,165.3998416,-4.03800475,197.1496437,209.6534653,109.6879866,-29.43353929,22.33009709,27.91878173
Caltagirone SpA,CALIg.MI^G94,Europe,329.0994684,0,Materials,Construction Materials,,,,,,,,
Sogefi SpA,SGFI.MI,Europe,612.871965,2.418712877,Consumer Discretionary,Auto Components,0.505902195,-3.246205732,17.8752108,21.83006536,18.12361483,0.210734755,132.4137931,124.6666667
SeSa SpA,SES.MI,Europe,397.5606649,0.494893031,Information Technology,IT Services,,,,,,,48.14814815,46.58385093
Massimo Zanetti Beverage Group SpA,MZB.MI,Europe,292.7352983,0.344251124,Consumer Staples,Food Products,,,,,,,11.11111111,22.4648986
Coima Res SpA SIIQ,CRES.MI,Europe,283.2283945,0.130484966,Real Estate,Equity Real Estate Investment Trusts (REITs),,,,,,,11.38269077,8.02483024
Bonheur ASA,BON.OL,Europe,371.3133309,0.127511951,Energy,Energy Equipment & Services,31.44558072,15.7972973,24.87330168,7.837837837,31.63136936,5.411939611,46.56862745,37.78801844
Gro Capital A/S,DKAP.CO^A05,Europe,NULL,0,NULL,NULL,69.29850746,-1.731343282,9.611940297,11.54313487,128.358209,108.3333333,,
INet SpA,INEopa.MI^A07,Europe,NULL,0,NULL,NULL,,,,,,,,
INet SpA,INE.MI^A08,Europe,NULL,0,NULL,NULL,,,,,-47.94456089,-47.94456089,,
Banca Popolare Di Luino E Di Varese SpA,PLVI.MI^F03,Europe,NULL,0.145050356,Financials,Banks,8.81355932,15.25423729,18.64406779,2.941176468,27.33119188,7.322004589,,
Next Biometrics Group ASA,NEXT.OL,Europe,186.5515639,0.377373889,Information Technology,"Electronic Equipment, Instruments & Components",,,,,,,-31.81818182,-32.05574913
Saes Getters SpA,SAEIopa.MI^G05,Europe,398.5448986,0,Information Technology,"Electronic Equipment, Instruments & Components",,,,,,,,
Saes Getters SpA,SAEI.MI,Europe,398.5448986,1.036486922,Information Technology,"Electronic Equipment, Instruments & Components",92.08484849,41.55151515,81.93939394,28.53228293,169.5070267,48.13011128,53.68150685,70.95238095
Banca Intermobiliare di Investimenti e Gestioni SpA,BIM.MI,Europe,249.8223726,0.140575703,Financials,Capital Markets,,,,,,,0.06802721,2.152777779
Banca Intermobiliare di Investimenti e Gestioni SpA,BIMopa.MI^D11,Europe,249.8223726,0,Financials,Capital Markets,,,,,,,,
Arnoldo Mondadori Editore SpA,MNDI5.MI^J94,Europe,518.2036702,1.125259158,Consumer Discretionary,Media,,,,,,,,
Arnoldo Mondadori Editore SpA,MOED.MI,Europe,518.2036702,1.059069564,Consumer Discretionary,Media,54.10501886,3.980272704,112.64868,104.508677,19.06816031,-44.00710115,93.42175066,97.93702498
Odfjell Drilling Ltd,ODLL.OL,Europe,417.7973184,0.481352258,Energy,Energy Equipment & Services,,,,,,,73.07692308,29.49640288
Team Tankers International Ltd,TEAM.OL,Europe,242.1460389,0.063199178,Industrials,Marine,,,,,,,-4.93672E-10,-3.50877193
La Doria SpA,LDO.MI,Europe,382.195936,1.213513049,Consumer Staples,Food Products,-3.461538468,3.653846151,-1.076923084,-4.564007426,-11.90196605,-10.94288946,47.27272727,57.71905424
Falck Renewables SpA,AA4.MI,Europe,359.5981325,0.884461931,Utilities,Independent Power and Renewable Electricity Producers,,,,,,,51.33333334,41.08141704
Kverneland AS,KVE.OL^E12,Europe,NULL,0.007085543,Industrials,Machinery,-16,-16,-25.71428572,-11.56462585,-60.87487685,-47.33156499,,
Rella Holding A/S,RELLA.CO^H15,Europe,246.0136674,0.237006551,Consumer Discretionary,Media,,,,,,,,
Akva Group ASA,AKVA.OL,Europe,204.4187275,0.256264964,Industrials,Machinery,,,,,,,-9.093121695,-16.59919422
ScAN Subsea As,SCASUB.OL^A08,Europe,NULL,0,NULL,NULL,,,,,,,,
Glamox As,GLAM.NFF,Europe,237.3863875,0,NULL,NULL,,,,,,,,
Cembre SpA,CEMB.MI,Europe,371.4978419,0.647736593,Industrials,Electrical Equipment,0.472727277,11.27272727,6.545454548,-4.24836601,-12.78868835,-18.14637985,55.9348332,54.61538461
Oslo Areal AS,OSLO.OL^F06,Europe,NULL,0,NULL,NULL,,,,,,,,
Trevi Finanziaria Industriale SpA,TFI.MI,Europe,163.3876621,0.793171291,Industrials,Construction & Engineering,56.59836065,-6.393442624,33.8114754,42.95096322,-5.231655857,-29.17771525,-31.94029851,9.090909095
Banco di Desio e della Brianza SpA,DESI.MI,Europe,350.4547168,0.12091349,Financials,Banks,22.57364341,0.465116278,20.7131783,20.15432099,24.25630403,2.935160672,56.28098107,66.29899267
Pareto Bank ASA,PARB.OL,Europe,252.6297549,0.114192192,Financials,Banks,,,,,,,4.581894964,0.453720509
Prosafe SE,PRSO.OL,Europe,285.2210539,0.699464938,Energy,Energy Equipment & Services,71.64179105,25.37313433,55.97014926,24.40476191,102.9850746,30.14354066,17.93103448,10.32258064
Prosafe SE,PRSA.NFF^J16,Europe,285.2210539,0,Energy,Energy Equipment & Services,,,,,,,,
Tribona ASA,TRIBN.OL^E13,Europe,NULL,0.348235844,NULL,NULL,,,,,,,,
Wilhelmsen Ships Service AS,UTO.OL^A06,Europe,NULL,0,NULL,NULL,17.27272727,-2.727272727,9.090909094,12.14953271,7.272727273,-1.666666669,,
Pra Group Europe AS,AIK.OL^G12,Europe,230.601211,0,Financials,Diversified Financial Services,395.3486444,39.09515498,231.3673397,138.2306844,531.9799721,90.71884777,,
Link Mobility Group ASA,LINK.OL,Europe,200.2703983,0.324453881,Telecommunication Services,Wireless Telecommunication Services,,,,,,,-12.24489796,-15.13157895
Snai SpA,SNAI.MI,Europe,281.6813274,0.531932339,Consumer Discretionary,"Hotels, Restaurants & Leisure",268.6319405,17.15798512,367.3726388,298.9251252,94.19044007,-58.45061864,19.56521739,19.46133796
Rica Hotels AS,RIC.OL^L06,Europe,NULL,0,NULL,NULL,14.28571429,14.28571429,14.28571429,,24.67532468,9.090909091,,
Jutlander Bank A/S,JUTBK.CO,Europe,273.3113609,0.02722085,Financials,Banks,,,,,,,24.26993398,19.5931085
Acquedotto De Ferrari Galliera SpA,ADFI.MI^F06,Europe,NULL,0.002370608,Utilities,Water Utilities,-8.344733242,-0.136798907,-5.12995896,-4.999999998,-14.17360299,-9.532665873,,
Acquedotto De Ferrari Galliera SpA,ADFIopa.MI^A06,Europe,NULL,0,Utilities,Water Utilities,,,,,,,,
Nera ASA,NER.OL^J06,Europe,NULL,0,NULL,NULL,180.5555556,27.77777778,225,154.3478261,123.4668769,-31.24096096,,
Basic Net SpA,BCNT.MI,Europe,237.7967327,0.335462463,Consumer Discretionary,Specialty Retail,-29.93630573,,-17.0955414,-17.0955414,-49.93372098,-39.60966652,11.57436216,21.14864864
Tecnoinvestimenti SpA,TECNO.MI,Europe,266.5363137,0.208168711,Financials,Capital Markets,,,,,,,22.40184757,30.54187192
Potagua Kapital A/S I Likvidation (Oploest),POKAP.CO^B06,Europe,NULL,0,NULL,NULL,,,,,,,,
LU-VE SpA,LUVE.MI,Europe,313.8434039,0.401847018,Industrials,Building Products,,,,,,,43.89145581,32.35917156
SP Group A/S,HYGCn.CO^G99,Europe,325.6569023,0,Materials,Chemicals,,,,,,,,
SP Group A/S,SPGn.CO^D06,Europe,325.6569023,0,Materials,Chemicals,,,,,,,,
SP Group A/S,SPGP.CO,Europe,325.6569023,0.723723768,Materials,Chemicals,-15.24143465,-1.333333334,-15.24143465,-14.09604863,-5.161451816,11.89258312,55.69620253,50.22900763
Sparebank 1 Ostfold Akershus,SOAG.OL,Europe,226.3438401,0.01089227,Financials,Banks,,,,,,,20.27606137,10.62427867
Vestjysk Bank A/S,VJBA.CO,Europe,328.8927385,0.083004806,Financials,Banks,2.409471066,1.515151516,3.323156947,1.781020275,17.54191306,13.7614418,55.20833334,35.45454545
Scottish Salmon Company PLC,SSCOM.OL,Europe,196.1442284,0.054374236,Consumer Staples,Food Products,,,,,,,-2.471910112,6.112469437
Granitifiandre SpA,GRAN.MI^C11,Europe,NULL,0,Industrials,Building Products,,,,,,,,
Granitifiandre SpA,GRANopa.MI^B11,Europe,NULL,0,Industrials,Building Products,,,,,,,,
Veripos Inc,VPOS.OL^C14,Europe,NULL,0,Industrials,Transportation Infrastructure,,,,,,,,
Gresvig Retail Group As,GREN.OL^D97,Europe,NULL,0,NULL,NULL,,,,,,,,
Gresvig Retail Group As,GREN.OL^I03,Europe,NULL,0,NULL,NULL,,,,,,,,
Gresvig Retail Group As,GRE.OL^G06,Europe,NULL,0,NULL,NULL,-5.263157896,2.631578947,-1.315789475,-3.846153848,-61.84210526,-61.33333333,,
Nextgentel AS,NEXT.OL^G06,Europe,NULL,0,NULL,NULL,,,,,,,,
Adresseavisen ASA,AAV.OL^J08,Europe,NULL,0,Consumer Discretionary,Media,-15.27777778,-5.555555556,-23.61111111,-19.11764706,-30.55555556,-9.090909091,,
BankNordik P/F,BNORDIK.CO,Europe,168.0991639,0.149392767,Financials,Banks,,,,,,,6.323080121,5.167394468
DK Company A/S,BONUn.CO^J06,Europe,NULL,0,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,,,,,,
DK Company A/S,DKC.CO^C16,Europe,NULL,0.006884881,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",-2.000000004,4.48463E-10,3.999999997,3.999999997,7.999999993,3.846153842,,
DK Company A/S,BONUt.CO^G07,Europe,NULL,0,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,,,,,,
Axel Springer Norway AS,STP.OL^L09,Europe,NULL,0,Information Technology,Internet Software & Services,-57.66990291,,,,-69.90291262,-69.90291262,,
Berlin IV A/S,BERLIVb.CO^B16,Europe,NULL,0.067243169,NULL,NULL,,,,,,,,
Valsoia SpA,VALS.MI,Europe,203.004863,0.263175038,Consumer Staples,Food Products,,,,,,,3.837072017,18.05369127
Lotus Marine AS,OHTR.NFF^L03,Europe,NULL,0,Energy,Energy Equipment & Services,,,,,,,,
Lotus Marine AS,AWHT.NFF^E07,Europe,NULL,0,Energy,Energy Equipment & Services,,,,,,,,
Jobindex A/S,JOBNDX.CO,Europe,201.2804771,0.006310582,Information Technology,Internet Software & Services,,,,,,,4.794520545,2.684563755
Sparekassen Sjaelland,SPKSJF.CO,Europe,240.9592754,0.180972381,Financials,Banks,,,,,,,26.3785289,24.55576166
Hitecvision AS,HITV.NFF,Europe,157.2819577,0.001436212,NULL,NULL,,,,,,,-15.47619048,-15.47619048
Roxar AS,ROX.OL^E09,Europe,NULL,0,Energy,Energy Equipment & Services,68.57142857,-4.285714287,7.142857144,11.94029851,27.40186055,18.90840318,,
Roxar AS,ROX.OL^F03,Europe,NULL,0,Energy,Energy Equipment & Services,64.70588236,2.941176471,100,94.28571429,64.70588236,-17.64705882,,
