Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30
Security Capital Atlantic Inc,SCA.N^G98,United_States,NULL,,NULL,NULL,,,,,,,
Reliance Electric Co,REE.N^A95,United_States,NULL,,NULL,NULL,,,,,,,
Nuveen Select Maturities Municipal Fd 2,NIR.N^G93,United_States,NULL,,NULL,NULL,,,,,,,
Nuveen Tennessee Premium Income Municipal,NTP.N^G93,United_States,NULL,,NULL,NULL,,,,,,,
Dreyfus Corp,DRY.N^H94,United_States,NULL,,NULL,NULL,,,,,,,
General Housewares Corp,GHW.N^J99,United_States,NULL,,NULL,NULL,0.218818381,0.218818381,0.218818381,,0.218818381,,
Citicorp,CCI.N^J98,United_States,NULL,,NULL,NULL,,,,,,,
Lca Group Inc,LXA.N^C01,United_States,NULL,,NULL,NULL,,,,,,,
Travellers Corp,TIC.N^A94,United_States,NULL,,NULL,NULL,,,,,,,
Citigroup Global Markets Holdings Inc,XSB.N^H01,United_States,NULL,,Financials,Diversified Financial Services,18.96551724,11.63793103,7.97413793,-3.281853282,6.034482762,-1.796407181,
Munivest New York Insured Fund,MVY.N^A97,United_States,NULL,,NULL,NULL,,,,,,,
Wellsford Residential Property Trust,WRP.N^F97,United_States,NULL,,NULL,NULL,,,,,,,
National Education Corp,NEC.N^F97,United_States,NULL,,NULL,NULL,,,,,,,
AIG Life Holdings Inc,AGC.N^H01,United_States,NULL,,NULL,NULL,-12.29958471,22.81977954,-21.18682056,-35.83022235,29.92433741,64.85102915,
Contifinancial Corp,CFN.N^A00,United_States,NULL,,NULL,NULL,-85.71428571,-67.85714286,-85.71428571,-55.55555556,-85.71428571,,
Morgan Stanley Finance Ltd,MSP.N^K00,United_States,NULL,,NULL,NULL,-0.723704337,2.323232322,-2.303698431,-4.521877044,12.14449583,14.78888559,
Provident Life And Accident Insurance Co,PVB.N^L95,United_States,NULL,,NULL,NULL,,,,,,,
Saks Holdings Inc,SKS.N^I98,United_States,NULL,,NULL,NULL,,,,,,,
Fingerhut Companies Inc,FHT.N^C99,United_States,NULL,,NULL,NULL,,,,,,,
Muniyield Insured Fund Ii,MTI.N^A97,United_States,NULL,,NULL,NULL,,,,,,,
Coast Savings Financial Inc,CSA.N^B98,United_States,NULL,,NULL,NULL,,,,,,,
Orius Corp,ORS.N^E00,United_States,NULL,,NULL,NULL,,,,,,,
National Westminster Bank PLC,NW.N^D00,United_States,230.0973609,,Financials,Banks,-7.894736843,-1.18E-09,-13.15789474,-13.15789474,-12.40601504,0.865800863,
John Alden Financial Corp,JA.N^H98,United_States,NULL,,NULL,NULL,,,,,,,
Lonza Walkersville Inc,BWI.N^J97,United_States,NULL,,NULL,NULL,,,,,,,
Earthgrains Co,EGR.N^H01,United_States,NULL,,NULL,NULL,-36.18935539,-14.21391304,-37.2618032,-26.86669946,-19.92136275,27.63936698,
King Pharmaceuticals Research & Development Inc,MRE.N^B00,United_States,NULL,,NULL,NULL,55.52407932,23.51274787,55.52407932,25.9174312,55.52407932,,
Arbor Property Trust,ABR.N^L97,United_States,NULL,,NULL,NULL,,,,,,,
Minnesota Municipal Term Trust Inc,MNA.N^D02,United_States,NULL,,NULL,NULL,0.906661322,-0.11918125,1.541294412,1.662456999,6.255929071,4.643071261,
Renaissance Hotel Group NV,RHG.N^C97,United_States,NULL,,NULL,NULL,,,,,,,
Centerior Energy Corp,CX.N^K97,United_States,NULL,,NULL,NULL,,,,,,,
Medical Wind Down Holdings III Inc,MAM.N^K99,United_States,NULL,,NULL,NULL,20.63953489,20.63953489,20.63953489,,20.63953489,,
Country Baskets Index Fund Inc Italy,GXI.N^B97,United_States,NULL,,NULL,NULL,,,,,,,
Decs Trust Ii Decs Ryg,RYD.N^K00,United_States,NULL,,NULL,NULL,11.48209844,-8.280254777,4.636706428,14.08307576,3.335523536,-1.24352432,
Midwest Energy Co,MWR.N^G95,United_States,NULL,,NULL,NULL,,,,,,,
ADO Staffing Inc,OLS.N^C00,United_States,NULL,,NULL,NULL,-3.030303026,-0.606060605,15.15151516,15.85365854,-3.030303026,-15.78947368,
Citigroup Inc,C_w.N^H02,United_States,163458.8375,,Financials,Banks,,,,,,,
Allstate Corp,PME.N^D98,United_States,29687.39918,,Financials,Insurance,,,,,,,
AT&T Inc,XTS.N^C01,United_States,243863.8266,,Telecommunication Services,Diversified Telecommunication Services,103.1872786,38.91129032,108.1030998,49.81006898,27.59214036,-38.68801548,
JPMorgan Chase & Co,CMB.N^D96,United_States,310760.7949,,Financials,Banks,,,,,,,
First Hawaiian Inc,BWE.N^L01,United_States,4154.302729,,Financials,Banks,-1.642560167,10.22900763,-22.49682747,-29.68895013,33.68092619,72.48445687,
Waddell & Reed Financial Inc,UTD.N^I93,United_States,1516.083089,,Financials,Capital Markets,,,,,,,
Lands End Inc,LE.N^F02,United_States,755.8928724,,Consumer Discretionary,Internet & Direct Marketing Retail,-11.19133574,-23.8267148,-51.53429603,-36.37440758,-63.72563177,-25.15456239,
Southwestern Public Service Co,SPS.N^H97,United_States,NULL,,Utilities,Electric Utilities,,,,,,,
Archon Corp,SAH.N^J93,United_States,97.031812,,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,,,,,
Heritage Media Corp,HTG.N^H97,United_States,NULL,,NULL,NULL,,,,,,,
J Ray Mcdermott SA,JRM.N^F99,United_States,NULL,,NULL,NULL,,,,,,,
American Waste Services Inc,AW.N^F98,United_States,NULL,,NULL,NULL,,,,,,,
Gulfstream Aerospace Corp,GAC.N^H99,United_States,NULL,,NULL,NULL,,,,,,,
Nalco Company LLC,NLC.N^L99,United_States,NULL,,NULL,NULL,2.919708031,2.433090025,2.919708031,0.475059383,2.919708031,,
Sodexo Inc,SDH.N^F01,United_States,NULL,,NULL,NULL,-13.55823689,-4.914060576,-32.64745957,-29.16666667,27.5016006,89.30481284,
TyCo Capital Corp,CIT.N^F01,United_States,NULL,,NULL,NULL,10.14683276,20.41958042,-21.97932679,-35.20931319,15.68009307,48.26851438,
Walden Residential Properties Inc,WDN.N^B00,United_States,NULL,,NULL,NULL,8.529411765,-3.529411766,8.529411765,12.5,8.529411765,,
IMO Industries Inc,IMD.N^G98,United_States,NULL,,NULL,NULL,,,,,,,
URC LLC,UNO.N^G01,United_States,NULL,,NULL,NULL,-0.506810676,1.666666668,-4.666655229,-6.229496947,-25.81906676,-22.1878416,
Kysor Industrial Corp,KZ.N^C97,United_States,NULL,,NULL,NULL,,,,,,,
Uslico Corp,USC.N^A95,United_States,NULL,,NULL,NULL,,,,,,,
National Rural Utilities Cooperative Finance Corp,NRU.N^L01,United_States,NULL,,Financials,Diversified Financial Services,-4.669897826,-0.757575758,-6.73667511,-6.024741332,12.08858415,20.18506125,
GREEN BAY FOOD CO(DEAN FOODS),DF.N^L01,United_States,NULL,,NULL,NULL,-36.04817887,-5.83105806,-42.32382486,-38.75244433,-24.99299446,30.04850852,
Browning-Ferris Industries Inc,BFI.N^H99,United_States,NULL,,NULL,NULL,,,,,,,
Cemex Inc,SDW.N^K00,United_States,NULL,,NULL,NULL,13.82754973,-6.193893447,-4.741775127,1.547999777,41.25146064,48.28269247,
Barto Technical Services Inc,WID.N^G93,United_States,NULL,,NULL,NULL,,,,,,,
Chase Industries Inc,CSI.N^I02,United_States,NULL,,Materials,Metals & Mining,5.937586302,4.305835008,-0.115990057,-4.239288306,44.03861544,44.20587992,
Hunt Corp,HUN.N^L02,United_States,NULL,,Industrials,Commercial Services & Supplies,12.53766901,7.692307691,19.05157096,10.54788732,-35.72819713,-46.01347773,
Seacastle Inc,SC.N^D08,United_States,NULL,,Industrials,Trading Companies & Distributors,,,,,,,
Roc Communities Inc,RCI.N^B97,United_States,NULL,,NULL,NULL,,,,,,,
Mobil Corp,MOB.N^K99,United_States,NULL,,NULL,NULL,8.447043537,9.096816118,8.447043537,-0.595592615,8.447043537,,
Senior High Income Portfolio II Inc,SAL.N^D96,United_States,NULL,,NULL,NULL,,,,,,,
Tekla Capital Management LLC,HQ.N^L99,United_States,NULL,,NULL,NULL,1.394169837,0.760456276,1.394169837,0.628930818,1.394169837,,
General Re Corp,GRN.N^L98,United_States,NULL,,NULL,NULL,,,,,,,
Royal Appliance Mfg Co,RAM.N^D03,United_States,NULL,,Consumer Discretionary,Household Durables,-15.95744681,9.32E-10,-19.14893617,-19.14893617,-31.91489362,-15.78947368,
Comcast MO Group Inc,UMX.N^H01,United_States,NULL,,NULL,NULL,15.05665788,-5.776692915,27.89455865,35.73558667,-18.99295913,-36.66107321,
Day International Group Inc,DAY.N^G95,United_States,NULL,,Industrials,Machinery,,,,,,,
Huntway Refining Co,HWY.N^F01,United_States,NULL,,NULL,NULL,-35.71428571,-10.71428571,-28.57142857,-20,-42.85714285,-20,
Bankers Life Holding Corp,BLH.N^B97,United_States,NULL,,NULL,NULL,,,,,,,
OEC Medical Systems Inc,OXE.N^K99,United_States,NULL,,NULL,NULL,-1.946902653,1.946902656,-1.946902653,-3.819444444,-1.946902653,,
Sealed Air Corp (US),SEE.N^C98,United_States,NULL,,NULL,NULL,,,,,,,
Cinemark Inc,CNK.N^I02,United_States,NULL,,Consumer Discretionary,Media,,,,,,,
Alma Maritime Ltd,AAM.N^G10,United_States,NULL,,Energy,"Oil, Gas & Consumable Fuels",,,,,,,
Qk Healthcare Inc,KRX.N^E02,United_States,NULL,,NULL,NULL,,,,,,,
Empire Federal Savings Bank of America,EOA.N^G93,United_States,NULL,,NULL,NULL,,,,,,,
Dekalb Genetics Corp,DKB.N^L98,United_States,NULL,,NULL,NULL,,,,,,,
American Adjustable Rate Term Tr Inc 97,CDJ.N^H95,United_States,NULL,,NULL,NULL,,,,,,,
KeyBanc Capital Markets Inc,MDD.N^J98,United_States,NULL,,NULL,NULL,,,,,,,
Quantum Corp Hard Disk Drive,HDD.N^D01,United_States,NULL,,NULL,NULL,93.54838709,26.88172043,47.31182795,16.10169491,37.63440859,-6.569343068,
Ohio Power Co,OPJ.N^G02,United_States,NULL,,Utilities,Electric Utilities,-3.250593851,3.66E-11,-4.905281385,-4.905281385,15.82381087,21.79836331,
Nyse Exchange Stock Portfolio,BSK.N^A94,United_States,NULL,,NULL,NULL,,,,,,,
Proler International Corp,PS.N^L96,United_States,NULL,,NULL,NULL,,,,,,,
Belmond Ltd,OEH.N^G94,United_States,1486.133019,,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,,,,,
Arizona Public Service Co,AZD.N^A00,United_States,NULL,,Utilities,Electric Utilities,-0.992555832,0.496277917,-0.992555832,-1.481481483,-0.992555832,,
Conseco Finance Corp,GNT.N^G98,United_States,NULL,,NULL,NULL,,,,,,,
Merry Land & Investment Company Inc,MRY.N^J98,United_States,NULL,,NULL,NULL,,,,,,,
Delhaize America LLC,DZB.N^D01,United_States,NULL,,Consumer Staples,Food & Staples Retailing,-4.560326829,5.654761907,-18.06594096,-22.45114412,-11.32077658,8.232430385,
Rubbermaid Inc,RBD.N^C99,United_States,NULL,,NULL,NULL,,,,,,,
Aeroquip-Vickers Inc,ANV.N^D99,United_States,NULL,,NULL,NULL,,,,,,,
Live Nation Worldwide Inc,SFX.N^H00,United_States,NULL,,NULL,NULL,40.43010753,21.29032258,36.34408602,12.41134752,61.93548388,18.76971609,
R&B Falcon Corp,FLC.N^A01,United_States,NULL,,NULL,NULL,66.66666667,17.98941799,55.55555556,31.83856502,94.17989419,24.82993198,
Universal Matchbox Group Ltd,UMG.N^J92,United_States,NULL,,NULL,NULL,,,,,,,
Generac Portable Products Inc,GPP.N^G99,United_States,NULL,,NULL,NULL,,,,,,,
HSN LLC,HSN.N^L96,United_States,NULL,,NULL,NULL,,,,,,,
Mapco LLC,MDA.N^C98,United_States,NULL,,NULL,NULL,,,,,,,
Culligan Water Technologies Inc,CUL.N^F98,United_States,NULL,,NULL,NULL,,,,,,,
Advest Group Inc,ADV.N^B01,United_States,NULL,,NULL,NULL,6.928570104,5.594405595,-3.923052037,-9.013221466,101.4834275,109.7104787,
HSB Group Inc,HSB.N^K00,United_States,NULL,,NULL,NULL,-13.55824891,5.709023941,-28.86758712,-32.70923311,20.59737723,69.5392752,
Watson Pharma Inc,SHP.N^H00,United_States,NULL,,NULL,NULL,76.02739725,-3.424657535,64.38356163,70.21276594,176.0273972,67.91666666,
Foxmeyer Corp,FOX.N^J94,United_States,NULL,,NULL,NULL,,,,,,,
Western Company Of North America,WSN.N^D95,United_States,NULL,,NULL,NULL,,,,,,,
Ajl Peps Trust Peps Exchange Ajl,AJP.N^B99,United_States,NULL,,NULL,NULL,,,,,,,
Continuum Company Inc,CNU.N^H96,United_States,NULL,,NULL,NULL,,,,,,,
Callahan Mining Corp,CMN.N^A92,United_States,NULL,,NULL,NULL,,,,,,,
Firstar Corp,FSR.N^K98,United_States,NULL,,NULL,NULL,,,,,,,
WitCo Corp,WIT.N^I99,United_States,NULL,,NULL,NULL,,,,,,,
Brookmonte Builders and Developers Inc,FRA.N^F98,United_States,NULL,,NULL,NULL,,,,,,,
RBC Capital Markets Holdings (USA) Inc,DRC.N^A01,United_States,NULL,,NULL,NULL,47.93524197,20.91718577,29.42580885,7.036735948,114.3209201,65.59364933,
Country Baskets Index Fund Inc South Africa,GXR.N^B97,United_States,NULL,,NULL,NULL,,,,,,,
Allied Group Inc,GRP.N^K98,United_States,NULL,,NULL,NULL,,,,,,,
Pilgrim American Capital Corp,PFX.N^J99,United_States,NULL,,NULL,NULL,14.34599156,14.34599156,14.34599156,,14.34599156,,
Rio Hotel & Casino Inc,RHC.N^L98,United_States,NULL,,NULL,NULL,,,,,,,
Classic Vacation Group Inc,GVG.N^A01,United_States,NULL,,NULL,NULL,,,,,,,
W. R. Grace & Co,GRA.N^C98,United_States,4768.754645,,Materials,Chemicals,,,,,,,
Afg Industries Inc,AFG.N^D88,United_States,NULL,,NULL,NULL,,,,,,,
Crestar Financial Corp,CF.N^L98,United_States,NULL,,NULL,NULL,,,,,,,
AT&T Teleholdings Inc,AIT_w.N^A94,United_States,NULL,,NULL,NULL,,,,,,,
Compaq Computer Corp,CPQ.N^E02,United_States,NULL,,NULL,NULL,30.51284098,28.44036697,36.82440793,6.527574749,-25.98253184,-45.90331558,
Mcdonnell Douglas Corp,MD.N^H97,United_States,NULL,,NULL,NULL,,,,,,,
Nine West Group Inc,NIN.N^F99,United_States,NULL,,NULL,NULL,,,,,,,
Fairfield Communities Inc,FFD.N^D01,United_States,NULL,,NULL,NULL,-31.35135135,7.567567566,-19.45945946,-25.12562814,21.62162161,51.0067114,
Centennial Technologies Inc,CTN.N^C97,United_States,NULL,,NULL,NULL,,,,,,,
Baltimore Bancorp,BBB.N^L94,United_States,NULL,,NULL,NULL,,,,,,,
Ohm Corp,OHM.N^F98,United_States,NULL,,NULL,NULL,,,,,,,
Mgi Properties,MGI.N^I00,United_States,NULL,,NULL,NULL,-43.91891892,7.432432434,-43.24324324,-47.16981132,-74.32432432,-54.76190476,
Comdisco Holding Company Inc,CDO.N^D02,United_States,18.33172705,,NULL,NULL,144.7545752,34.41307999,151.6881326,87.24973241,-36.32673568,-74.70152301,
International Home Foods Inc,IHF.N^H00,United_States,NULL,,NULL,NULL,-16.88311688,3.246753249,-16.55844156,-19.18238994,11.68831169,33.85214008,
Bank of Boston Corp,BKB.N^J99,United_States,NULL,,NULL,NULL,,,,,,,
Del Webb Corp(Pulte Homes Inc),WBB.N^G01,United_States,NULL,,NULL,NULL,-31.30434782,4.057971014,-34.49275362,-37.04735376,35.65217392,107.079646,
Magma Copper Co,MCU.N^A96,United_States,NULL,,NULL,NULL,,,,,,,
Pratt And Lambert Inc,PLU.N^A96,United_States,NULL,,NULL,NULL,,,,,,,
SteNA Offshore NV,SDH.N^H94,United_States,NULL,,NULL,NULL,,,,,,,
Meadowcraft Inc,MWI.N^F99,United_States,NULL,,NULL,NULL,,,,,,,
Broadway Stores Inc,BWY.N^J95,United_States,NULL,,NULL,NULL,,,,,,,
CBRE Services Inc,CBG.N^G01,United_States,NULL,,NULL,NULL,-17.9245283,3.773584906,-21.22641509,-24.09090909,10.37735849,40.11976047,
Lanier Worldwide Inc,LR.N^A01,United_States,NULL,,NULL,NULL,-56.57894737,-9.210526316,-39.47368421,-33.33333333,-36.84210527,4.347826085,
Syntex Corp,SYN.N^K94,United_States,NULL,,NULL,NULL,,,,,,,
Super Food Services Inc,SFS.N^K96,United_States,NULL,,NULL,NULL,,,,,,,
IP Timberlands Ltd,IPT.N^C98,United_States,NULL,,NULL,NULL,,,,,,,
Ut Automotive Inc,UTA.N^D94,United_States,NULL,,NULL,NULL,,,,,,,
Nuveen Insured Fl Premium Incm Mun Fd 2,NFP.N^A95,United_States,NULL,,NULL,NULL,,,,,,,
United States Filter Corp,USF.N^D99,United_States,NULL,,NULL,NULL,,,,,,,
Authentic Fitness Corp,ASM.N^L99,United_States,NULL,,NULL,NULL,5.732484078,5.095541402,5.732484078,0.606060606,5.732484078,,
ABC Inc,CCBw.N^C96,United_States,NULL,,NULL,NULL,,,,,,,
Osmonics Inc,OSM.N^B03,United_States,NULL,,Industrials,Machinery,-16.88311688,-3.896103896,-16.88311688,-13.51351351,-30.23255814,-16.06104651,
Isomedix Inc,ISO.N^I97,United_States,NULL,,NULL,NULL,,,,,,,
Horizon/CMS Healthcare Corp,HHC.N^J97,United_States,NULL,,NULL,NULL,,,,,,,
Reliastar Financial Corp,RLR.N^I00,United_States,NULL,,NULL,NULL,-3.900709221,29.96453901,-27.65957447,-44.33833561,53.65083915,112.3996894,
Ocwen Asset Investment Corp,OAC.N^J99,United_States,NULL,,NULL,NULL,,,,,,,
Ralphs Grocery Co,RG.N^G93,United_States,NULL,,NULL,NULL,,,,,,,
United Kingdom Fund Inc,UKM.N^D99,United_States,NULL,,NULL,NULL,,,,,,,
Templeton Global Governments Income Trst,TGG.N^H02,United_States,NULL,,NULL,NULL,-2.124065141,-2.231683169,-5.045734839,-2.878285892,4.217006128,9.754949872,
Pittston Minerals Group Inc,PZM.N^A00,United_States,NULL,,NULL,NULL,7.692307693,-26.92307692,7.692307693,47.36842105,7.692307693,,
Merrill Lynch & Co Inc,MCO.N^E99,United_States,NULL,,Financials,Capital Markets,,,,,,,
Wyman Gordon Ltd,WYG.N^K99,United_States,NULL,,NULL,NULL,5.629139071,4.966887416,5.629139071,0.630914826,5.629139071,,
Morton International LLC,MII.N^E97,United_States,NULL,,NULL,NULL,,,,,,,
Siemens Medical Solutions Health Services Corp,SMS.N^G00,United_States,NULL,,NULL,NULL,16.05647052,-5.54785021,37.61398255,45.69703586,63.50858926,18.81684276,
Historic TW Inc,TWX.N^A01,United_States,NULL,,Consumer Discretionary,Media,67.2222296,11.58663883,36.70417269,22.50944569,-82.49743173,-87.19675638,
American Media Inc,ENQ.N^E99,United_States,NULL,,NULL,NULL,,,,,,,
Cilcorp Inc,CER.N^K99,United_States,NULL,,Utilities,Electric Utilities,,,,,,,
Caliber System Inc,CBB.N^A98,United_States,NULL,,NULL,NULL,,,,,,,
Benson Eyecare Corp,EYE.N^E96,United_States,NULL,,NULL,NULL,,,,,,,
Springs Industries Inc,SMI.N^I01,United_States,NULL,,NULL,NULL,16.59119608,22.59887006,10.38389689,-9.963365216,2.676255033,-6.982578138,
Living Centers America Inc,LCA.N^K97,United_States,NULL,,NULL,NULL,,,,,,,
Pet Inc,PT.N^E95,United_States,NULL,,NULL,NULL,,,,,,,
Burns International Services Corp,BOR.N^I00,United_States,NULL,,NULL,NULL,-17.64705882,-25.49019608,-16.17647059,12.5,68.13725492,100.5847953,
TXU Gas Co,ENS.N^H97,United_States,NULL,,NULL,NULL,,,,,,,
Providence Journal Co,PRJ.N^C97,United_States,NULL,,NULL,NULL,,,,,,,
Waddell & Reed Financial Inc,WDRb.N^D01,United_States,1516.083089,,Financials,Capital Markets,94.83154218,20.49689441,43.93804639,19.45373953,183.6652431,97.07454018,
Grc International Inc,GRH.N^C00,United_States,NULL,,NULL,NULL,78.35820896,5.970149253,76.86567165,66.90140846,78.35820896,0.843881856,
Acm Government Securities Fund Inc,GSF.N^L00,United_States,NULL,,NULL,NULL,7.496992126,0.107890499,5.542501361,5.428753752,27.69881766,20.9927906,
Liberty Term Trust Inc 1999,LTT.N^L99,United_States,NULL,,NULL,NULL,0.68965517,-1.71E-09,0.68965517,0.689655172,0.68965517,,
